name,year,magnitude,focal_depth,damage
CHINA:  S XINJIANG:  WUQIA COUNTY,1990,6.2,33.0,2.0
INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO,1990,7.6,26.0,25.0
CHINA:  QINGHAI PROVINCE:  GANGHE-XINGHAI,1990,6.9,8.0,2049.0
ITALY:  POTENZA,1990,5.4,10.0,16.0
PERU:  MOYABAMBA-RIOJO,1990,6.5,24.0,8130.0
"ROMANIA:  BUCHAREST, BRAILA, BRASOV",1990,6.7,89.0,700.0
"PHILIPPINES:  CULASI, PANAY",1990,7.1,18.0,15.0
PAKISTAN:  BALUCHISTAN,1990,6.3,15.0,6.0
"IRAN:  RASHT, QAZVIN, ZANJAN,  RUDBAR, MANJIL",1990,7.7,19.0,105000.0
"INDONESIA:  JAVA:  W, KUNINGAN, MAJALENGA",1990,4.8,14.0,103.0
"PHILIPPINES:  BAGUIO,  CABANATUAN, DAGUPAN",1990,7.8,25.0,3000.0
VANUATU ISLANDS:  ESPIRITU SANTO,1990,6.4,126.0,2.0
"KAZAKHSTAN:  AKKAL, UST",1990,6.1,33.0,8.0
"ECUADOR:  PAMASQUI,  QUITO",1990,4.4,5.0,10.0
SOUTH AFRICA:  WELKOM,1990,4.2,5.0,5.0
SOUTH AFRICA:  CHARLETONVILLE,1990,4.0,5.0,6.0
CHINA:  GANSU PROVINCE:  TIANZHU,1990,5.8,12.0,92.0
"AFGHANISTAN:  HINDU KUSH:  CHITRAL, MARDAN, MALAKAND",1990,6.0,114.0,250.0
"IRAN:  S, DARAB",1990,6.7,11.0,100.0
"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE",1990,6.8,48.0,32.0
BALKANS NW:  BOSNIA-HERZEGOVINA:  TITOGRAD,1990,5.6,24.0,10.0
ITALY:  SICILY:  CARLENTINI,1990,5.3,11.0,200.0
"TAIWAN:  HUALIEN,  TAIPEI",1990,6.2,12.0,3.0
